Organization Name,Organization Name URL,Growth Category,Postal Code,Full Description,Actively Hiring,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Investments,Founders,IPO Status,CB Rank (Organization),CB Rank (School),Last Funding Date,Number of Funding Rounds,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Industry Groups,Investment Stage,Headquarters Regions,Website,LinkedIn,Contact Email,Number of Employees
Circal,https://www.crunchbase.com/organization/circal-d5c2,,A94 F9N7,Circal provides renewable energy solutions that assist organizations fulfill their decarbonization goals and allow landowners to diversify agricultural revenue.,,"Renewable Energy, Solar","Blackrock, Dublin, Ireland",Circal provides renewable energy solutions that assist organizations fulfill their decarbonization goals.,"37,895",2022-01-01,year,,Bill Sadlier,Private,"38,860",,2024-09-27,1,Early Stage Venture,15000000,EUR,16757249,Series A,15000000,EUR,16757249,15000000,EUR,16757249,Series A,15000000,EUR,16757249,Octopus Energy generation,1,"Energy, Natural Resources, Sustainability",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://wearecircal.com/,https://www.linkedin.com/company/circalsolar/,info@wearecircal.com,1-10
EXO Biologics,https://www.crunchbase.com/organization/exo-biologics,Growing,,,,"Biopharma, Biotechnology, Life Science","Liège, Liege, Belgium",EXO Biologics is a biotech company developing biopharmaceuticals using extracellular vesicles.,"37,973",2019-01-01,year,,,Private,"38,940",,2024-04-24,3,Early Stage Venture,16000000,USD,16000000,Series A,26482433,USD,26482433,16000000,USD,16000000,Series A,22024387,USD,22024387,"Meusinvest (Noshaq), Walloon",2,"Biotechnology, Health Care, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.exobio.be/,https://www.linkedin.com/company/exo-biologics,info@exobio.be,11-50
MICLEDI Microdisplays,https://www.crunchbase.com/organization/micledi-microdisplays,Growing,3000,"MICLEDI Microdisplays is a fabless microLED display developer for the Augmented Reality (AR) market. Its technology is based on an innovative combination of III/V materials processing, 3D integration, and 300mm Si-based processing in conjunction with a proprietary ASIC to provide a self-contained, compact monolithic AR display with high image quality and power efficiency.",,Semiconductor,"Leuven, Vlaams-Brabant, Belgium","MICLEDI Microdisplays is an experienced executive in the semiconductor industry,","38,253",2019-01-01,year,,"Alexander Mityashin, Soeren Steudel",Private,"39,229",,2024-03-12,4,Early Stage Venture,25000000,USD,25000000,Series A,38230714,USD,38230714,25000000,USD,25000000,Series A,38230714,USD,38230714,"imec.xpand, imec, PMV, SFPIM, Agentschap Innoveren & Ondernemen",9,"Hardware, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.micledi.com/,https://www.linkedin.com/company/micledi-microdisplays/about/,info@micledi.com,11-50
Livespace,https://www.crunchbase.com/organization/livespace,,,"Livespace is a sales automation tool that helps reps to communicate with customers and improve the sales process in order to close more deals in a repeatable, predictable way. Unlike most cloud CRM solutions, Livespace drastically reduces time spent on data entry and has e-mail automation features so reps don’t have to remember who and when to contact.",,"B2B, CRM, Sales, Sales Automation","Warsaw, Mazowieckie, Poland",Livespace is a process-focused CRM platform for B2B sales teams.,"38,304",2014-04-01,day,,"Marcin Stanczak, Michal Skurowski, Michal Szkodzinski",Private,"39,253",,2024-03-01,3,Early Stage Venture,10000000,PLN,2510583,Series A,3160583,USD,3160583,10000000,PLN,2510583,Series A,3160583,USD,3160583,"Google for Startups, ARIA Fund, INventures",3,"Information Technology, Other, Sales and Marketing, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.livespace.io,https://www.linkedin.com/company/livespace/,support@livespace.io,11-50
STOKR,https://www.crunchbase.com/organization/stokr-a236,,,"STOKR is a digital marketplace built on the blockchain to create independent access to a new age of capital markets. We provide a turn-key solution to founders for their investment processes. Using STOKR, founder's can manage the issuance, subscription, maintenance and administration of security tokens (programmable digital shares), as per the EU capital market laws. STOKR provides support for multi-blockchain issuance of the security tokens. Investors can register, invest, manage and transfer their security tokens from their STOKR account. Investors can subscribe to future profits or revenues on STOKR, automatised via the blockchain-based smart contracts. All at a ZERO cost! STOKR aims to simplify the complex world of investing by opening up inspiring opportunities for everyday investors and businesses with bright ideas.",,"Angel Investment, Blockchain, Crowdfunding, Information Technology, Marketplace, Venture Capital","Luxembourg, Luxembourg, Luxembourg",The new peer-to-peer investment platform for firing up capital markets.,"38,971",2018-08-08,day,,"Arnab Naskar, Christopher Nigischer, Ingo Fiedler, Travin Keith",Private,"39,938",,2024-10-24,4,Early Stage Venture,7980000,USD,7980000,Series A,16043115,USD,16043115,7980000,USD,7980000,Series A,16043115,USD,16043115,"Borderless Capital, Fulgur Ventures, G1 Ventures, Utopia Genesis Foundation",4,"Blockchain and Cryptocurrency, Commerce and Shopping, Financial Services, Information Technology, Lending and Investments, Other",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://stokr.io/,https://www.linkedin.com/company/stokr/,hello@stokr.io,11-50
Hoba Therapeutics,https://www.crunchbase.com/organization/hoba-therapeutics,Growing,2200,Hoba Therapeutics is developing a new therapeutic protein for the treatment of neuropathic pain.,,"Biotechnology, Health Care, Pharmaceutical","Copenhagen, Hovedstaden, Denmark",Hoba Therapeutics is developing a new therapeutic protein for the treatment of neuropathic pain.,"38,978",2016-01-01,year,,Kenneth Ahrend Petersen,Private,"39,979",,2023-12-10,3,Early Stage Venture,23000000,EUR,24760070,Series A,29633270,USD,29633270,23000000,EUR,24760070,Series A,26760070,USD,26760070,"European Innovation Council, EIC Accelerator, Novo Holdings, Export and Investment Fund, Indaco Venture Partners",8,"Biotechnology, Health Care, Science and Engineering",,"European Union (EU), Nordic Countries, Scandinavia",https://hobatherapeutics.com,https://www.linkedin.com/company/hoba-therapeutics,,1-10
ANOZR WAY,https://www.crunchbase.com/organization/anozr-way,,35510,,,"Cyber Security, Software","Cesson-sévigné, Bretagne, France","ANOZR WAY Protect the company's strategic assets from cyber-attacks exploiting human vulnerabilities, continuously anticipate attacks, etc.","39,186",2019-01-01,year,,,Private,"40,159",,2024-03-15,2,Early Stage Venture,6000000,EUR,6534168,Series A,8000000,EUR,8943908,6000000,EUR,6534168,Series A,8000000,EUR,8943908,"Bpifrance, Hi Inov - Dentressangle, BNP Paribas Développement, Breizh Up",4,"Information Technology, Privacy and Security, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.anozrway.com,https://in.linkedin.com/company/anozrway,,11-50
Vectoflow,https://www.crunchbase.com/organization/vectoflow,Growing,D-82205,"Vectoflow is an innovative company developing fluid-dynamic metrology devices for fluid flow and dynamics measurement. It offers standardized and customized flow measurement technology that measures the static and total pressure, velocity, and angle of attack of a flow. These products are used in motorsport, aviation, turbine machine development, and research sectors.",,"Industrial Engineering, Manufacturing, Mechanical Engineering, Test and Measurement","Gilching, Bayern, Germany","Vectoflow designs, builds and calibrates robust and customizable multi-hole and other flow probes for 3D flow-measurement.","39,226",2014-01-01,year,,"Christian Haigermoser, Florian Wehner, Katharina Kreitz",Private,"40,231",,2023-12-15,3,Early Stage Venture,4000000,EUR,4363402,Series A,4025000,EUR,4390993,4000000,EUR,4363402,Series A,4025000,EUR,4390993,"KfW, Bayern Kapital, AM Ventures, Schwarz Group, WN Capital Partners",8,"Data and Analytics, Manufacturing, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.vectoflow.de/en/,https://www.linkedin.com/company/vectoflow,info@vectoflow.de,1-10
Alliance Games,https://www.crunchbase.com/organization/alliance-games,,,"Alliance Games provides the next level of decentralized Web3 gaming infrastructure hosting and data storage services for Web3 games, driven by permissionless community nodes.",,"Gaming, Web3","Bad Oldesloe, Schleswig-Holstein, Germany",Alliance Games provides the next level of decentralized Web3 gaming infrastructure hosting and data storage services for Web3 games.,"39,296",,,,,Private,"40,304",,2024-10-31,1,Early Stage Venture,5000000,USD,5000000,Series A,5000000,USD,5000000,5000000,USD,5000000,Series A,5000000,USD,5000000,"Animoca Brands, Overwolf, iAngels, Ancient8, Coin98",15,"Blockchain and Cryptocurrency, Gaming, Internet Services",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://alliancegames.xyz,https://www.linkedin.com/company/alliancegames,,1-10
Velca,https://www.crunchbase.com/organization/velca,,28004,Velca is a manufacturer of electric motorcycles and mopeds designed to improve the sustainability of mobility. The company develops a range of electric scooters with swappable batteries that can be charged using any plug along with a GPS system integrated with its app that enables users to commute using sustainable vehicles.,,"Automotive, Electric Vehicle, Electronic Design Automation (EDA)","Madrid, Madrid, Spain",Velca is a manufacturer of electric motorcycles and mopeds designed to improve the sustainability of mobility.,"39,610",2019-01-01,year,,"César Izquierdo, David Ruiz, Emilio Fernández, Jose Álvarez, Marta Rosell",Private,"40,591",,2023-11-29,7,Early Stage Venture,3500000,EUR,3840869,Series A,12210745,EUR,13937867,3500000,EUR,3840869,Series A,10410745,EUR,11962563,"ENISA, Banco Sabadell, Noso Capital, sherry ventures, BeHappy Investments",7,"Hardware, Software, Transportation",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://velcamotor.com,https://www.linkedin.com/company/velcamotor,hola@velcamotor.com,11-50
NETRIS Pharma,https://www.crunchbase.com/organization/netris-pharma,Growing,69008,"NETRIS Pharma develops therapeutic molecules for treating cancer by targeting dependence receptors for the pharmaceutical industry. The dependence receptors are trans-membrane proteins that receive signals and transmit them inside cells and this helps in controlling tumor development.  The company provides vitro and in vivo research, preclinical practices for manufacturing drugs for the treatment of breast cancer, lung cancer, glioblastoma and neuroblastoma cancer.",,"Biotechnology, Health Care, Life Science, Pharmaceutical","Lyon, Rhone-Alpes, France",NETRIS Pharma develops therapeutic molecules for treating cancer by targeting dependence receptors for the pharmaceutical industry. ,"39,769",2008-01-01,year,,,Private,"40,792",,2023-12-19,4,Early Stage Venture,7500000,EUR,8233877,Series A,12322381,USD,12322381,7500000,EUR,8233877,Series A,7500000,EUR,8233877,European Innovation Council,1,"Biotechnology, Health Care, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.netrispharma.com/,https://www.linkedin.com/company/netris-pharma,,1-10
CryptoNext Security,https://www.crunchbase.com/organization/cryptonext-security,Growing,75005,"CryptoNext is a spin-off from Inria Paris and Sorbonne University. The quantum computer disruption is an opportunity, a source of progress for many fields, but also a serious threat to the security of electronic communications. A large-scale quantum computer will break the cryptography that permits to secure Internet. Their vision is that quantum computers is a risk that we cannot ignore.",,Network Security,"Paris, Ile-de-France, France",CryptoNext Security provides cryptographic standards that will make your IT infrastructures resilient against quantum computers.,"39,783",2019-01-01,year,,"Jean-Charles Faugere, Ludovic Perret",Private,"40,770",,2023-11-30,2,Early Stage Venture,11000000,EUR,11982845,Series A,11000000,EUR,11982845,11000000,EUR,11982845,Series A,11000000,EUR,11982845,"AXA Venture Partners, AGORANOV, Quantonation, Auriga Cyber ​​Ventures",4,"Information Technology, Privacy and Security",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://cryptonext-security.com/,https://www.linkedin.com/company/cryptonext-security/,contact@cryptonext-security.com,1-10
homedoctor,https://www.crunchbase.com/organization/homedoctor,,28023,"Homedoctor is an online medical care app that offers medical video consultations. With Homedoctor's health robot, users can keep an eye on their own vital signs and record the information in their medical records to look for abnormalities in their internal and external organs. Specialists from Homedoctor's team in pediatrics, gynecology, internal medicine, dermatology, psychiatry, pneumonia, sports, and rehabilitation medicine, and nutrition help patients in a live video consultation while relying on the tools to provide an accurate diagnosis.",,Health Care,"Madrid, Madrid, Spain",The first Smart Medicine solution,"40,371",2018-01-01,year,,"Angel Ybañez, Jose Lorente, Juan Láriz",Private,"41,385",,2024-09-26,3,Early Stage Venture,4500000,EUR,5029636,Series A,8400000,EUR,9510197,4500000,EUR,5029636,Series A,8400000,EUR,9510197,"Clave, Going Investment S.A., Prader, Q-Impact",4,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://homedoctor.es/,https://www.linkedin.com/company/gadaca/,,51-100
Brightflow,https://www.crunchbase.com/organization/brightflow,,,Brightflow operates as a medical device startup.,,"Medical, Medical Device","Paris, Ile-de-France, France",Brightflow operates as a medical device startup.,"40,538",2020-01-01,year,,,Private,"41,582",,2024-09-10,1,Early Stage Venture,16500000,EUR,18217108,Series A,16500000,EUR,18217108,16500000,EUR,18217108,Series A,16500000,EUR,18217108,"UI Investissement, BNP Paribas Développement, VIVES Funds, GO CAPITAL, Karista",6,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,
Arksen,https://www.crunchbase.com/organization/arksen,Growing,W1W 8RH,"Arksen is a developer of autonomous systems used to offer innovative explorer vessels. Its systems aim to create a purpose-built private marine research fleet which is made of using aluminum and high-speed craft boat builder that enable explorer, sailor, adventurer, and scientist to get inspired and go further, for longer and in assistance of projects that helps global audiences to better understand, protect, and nurture oceans.",,"Manufacturing, Marine Technology, Marine Transportation, Water Transportation","London, England, United Kingdom",Arksen is a developer of autonomous systems used to offer innovative explorer vessels.,"40,912",2017-01-01,year,,"Jasper Smith, Sophie Dammann",Private,"41,965",,2024-02-22,2,Early Stage Venture,6000000,GBP,7597408,Series A,6000000,GBP,7597408,6000000,GBP,7597408,Series A,6000000,GBP,7597408,Vala Capital,1,"Manufacturing, Science and Engineering, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://www.arksen.com/,https://www.linkedin.com/company/arksen-project/,tellmemore@arksen.com,11-50
Evios,https://www.crunchbase.com/organization/evios,Growing,,Evios is a manufacturer of home electric vehicle charging stations.,,"Automotive, Charging Infrastructure, Electric Vehicle, Manufacturing","Bedford, Bedfordshire, United Kingdom",Evios is a manufacturer of home electric vehicle charging stations.,"41,013",2021-01-01,year,,,Private,"42,052",,2024-02-19,2,Early Stage Venture,4000000,GBP,5035031,Series A,9800000,GBP,12141428,4000000,GBP,5035031,Series A,9800000,GBP,12141428,Beringea,1,"Manufacturing, Transportation",,"Europe, Middle East, and Africa (EMEA)",https://www.myevios.com/,https://www.linkedin.com/company/evios-plc,helpdesk@myevios.com,11-50
Agrilife Studio,https://www.crunchbase.com/organization/agrilife-studio,Growing,91120,Agrilife Studio is a startup studio focuses on agriculture and environment.,,"Agriculture, AgTech","Palaiseau, Ile-de-France, France",Agrilife Studio is a startup studio focuses on agriculture and environment.,"41,272",2022-01-01,year,,,Private,"42,321",,2024-02-05,1,Early Stage Venture,25000000,EUR,26852991,Series A,25000000,EUR,26852991,25000000,EUR,26852991,Series A,25000000,EUR,26852991,"Bpifrance, Crédit Mutuel Arkéa, Credit Mutuel Alliance Federale",3,Agriculture and Farming,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://agrilifestudio.com/en,https://www.linkedin.com/company/agrilife-studio,,1-10
Warehow,https://www.crunchbase.com/organization/warehow,,NG20 9DE,Warehow operates as a One Stop Solution for fashion ecommerce fulfilment.,,"E-Commerce, Marketplace","Mansfield, Nottinghamshire, United Kingdom",Warehow operates as an One Stop Solution for fashion ecommerce fulfilment.,"41,312",2021-01-01,year,,"Al Gerrie, Laurence Guy, Pete Harris",Private,"42,362",,2024-09-02,1,Early Stage Venture,2100000,GBP,2760775,Series A,2100000,GBP,2760775,2100000,GBP,2760775,Series A,2100000,GBP,2760775,"Mercia Ventures, MENA Moonshots",2,Commerce and Shopping,,"Europe, Middle East, and Africa (EMEA)",https://www.warehow.com/,https://www.linkedin.com/company/warehowofficial/about/,,51-100
ARTIRIA Medical,https://www.crunchbase.com/organization/artiria-medical,Growing,1015,ARTIRIA Medical provides micro-actuated device allowing to treat vascular diseases.,,"Biotechnology, Health Care","Lausanne, Vaud, Switzerland",ARTIRIA Medical provides micro-actuated device allowing to treat vascular diseases.,"41,421",2019-01-01,year,,"Guillaume Petit-Pierre, Marc Boers",Private,"42,474",,2024-02-28,9,Early Stage Venture,6000000,USD,6000000,Series A,14122942,USD,14122942,6000000,USD,6000000,Series A,9317636,USD,9317636,"Verve Ventures, Venture Kick, European Innovation Council, Zürcher Kantonal Bank, Wyss Center",10,"Biotechnology, Health Care, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",https://artiria-medical.com/,https://www.linkedin.com/company/artiria-med,info@artiria-medical.com,1-10
Luya Foods,https://www.crunchbase.com/organization/luya-foods,Growing,3052,"Sustainable food, Plant-based, Circular food, Meat alternative, Alternative to meat, Okara, Food waste, and Fermentation",,"Food and Beverage, Organic Food","Zollikofen, Bern, Switzerland",Luya develops and produces plant-based alternatives to meat without trying to imitate meat.,"41,761",2021-01-01,year,,Flavio Hagenbuch,Private,"42,824",,2024-09-26,3,Early Stage Venture,5000000,CHF,5892926,Series A,5150000,CHF,6056322,5000000,CHF,5892926,Series A,5000000,CHF,5892926,"Lisa Schmidheiny, redalpine, Kickfund, InnoBooster",4,Food and Beverage,,"Europe, Middle East, and Africa (EMEA)",https://luya.bio/,https://www.linkedin.com/company/luyafoods/,hello@luyafoods.ch,11-50
Kenmei,https://www.crunchbase.com/organization/kenmei-technologies,,46980,"Kenmei is a Spanish company based in Valencia founded by telecoms and software experts, focused on providing data intelligence with machine-based decisions, automating network operations, and customer assurance, to help operators to deal with the incoming increase of network complexity.",,"Industrial Automation, Software","Paterna, Comunidad Valenciana, Spain",Kenmei is a network intelligence and Automation Company.,"42,116",2018-01-01,year,,Vicent Soler,Private,"43,219",,2024-06-24,5,Early Stage Venture,4000000,EUR,4292877,Series A,6750000,EUR,7439547,4000000,EUR,4292877,Series A,6500000,EUR,7164061,"Bewater Funds, MassVentures, GoHub Ventures, Centre for the Development of Industrial Technology (CDTI), Andorra Telecom",7,"Manufacturing, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.kenmei.ai/,https://www.linkedin.com/company/kenmei-technologies/,contact@kenmei.ai,51-100
Volumina Medical,https://www.crunchbase.com/organization/volumina-medical,,CH-1066,"Volumina is active in the field of tissue engineering and develops injectable 3D scaffolds for the reconstruction of volumes of soft tissues (fat, muscles, glandular tissues, supporting and connective tissues) that have been lost after tumor ablation, disease, trauma, or for purely esthetically purposes.",,"Biotechnology, Life Science, Manufacturing, Medical","Epalinges, Vaud, Switzerland",Volumina is active in field of tissue engineering and develops injectable 3D scaffolds for the reconstruction of volumes of soft tissues.,"42,141",2017-01-01,year,,"Amelie Beduer, Philippe Renaud, Thomas Braschler",Private,"43,217",,2024-03-25,11,Early Stage Venture,21000000,USD,21000000,Series A,22359278,USD,22359278,21000000,USD,21000000,Series A,21100763,USD,21100763,"Venture Kick, Innosuisse, EIT Health, Innovaud, Biopôle",8,"Biotechnology, Health Care, Manufacturing, Science and Engineering",,"Europe, Middle East, and Africa (EMEA)",http://www.volumina-medical.ch/,https://www.linkedin.com/company/voluminamedical,contact@volumina-medical.ch,1-10
Aurea Imaging,https://www.crunchbase.com/organization/aurea-e856,,3534,"Aurea provides software engineering, geographic information systems, and agricultural services.  Data collection, processing, and analysis should be consistent and accurate to deliver a product that is relevant to the needs of their clients.",,"Agriculture, Information Technology, Software, Software Engineering","Utrecht, Utrecht, The Netherlands",Aurea offers profitable and sustainable farming through smart farming technology.,"43,168",2016-01-01,year,,,Private,"44,282",,2024-07-02,1,Early Stage Venture,2800000,EUR,3001747,Series A,2800000,EUR,3001747,2800000,EUR,3001747,Series A,2800000,EUR,3001747,"Pymwymic, ROM Utrecht Region, BarUni, Knop Ventures, Goeie Grutten Impact Fund",5,"Agriculture and Farming, Information Technology, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.aureaimaging.com,https://www.linkedin.com/company/aurea-imaging,info@aureaimaging.com,11-50
Prove & Run,https://www.crunchbase.com/organization/prove-run,,75017,"Prove & Run has been created with the idea that large scale deployment of connected objects will become a target for remote cyber-attacks and that the technologies in use in the mobile industry were insufficient to answer to the challenge.  When designing connected objects, security engineers can in effect rely on three pillars: (1) Secure elements or hardware coprocessors; (2) Trusted Execution Environment (TEE) or secure OSs; (3) Hardware - or software-based hypervisors. In order to resist to sophisticated remote attacks, the last two need to be formally proven so as to be as close as possible to zero-bugs. This is what we have done at Prove & Run with ProvenCore, a formally proven secure OS and ProvenVisor a next generation secure hypervisor.    In most cases using of single instance of ProvenCore on a given connected object will be sufficient to protect against hackers with multi-million dollar budgets.",,"Cyber Security, Information Technology, Internet, Software","Paris, Ile-de-France, France",Software solutions to protect the IoT and connected objects against cybersecurity attacks,"43,593",2009-08-28,day,,Dominique Bolignano,Private,"44,722",,2023-12-06,1,Early Stage Venture,15000000,EUR,16149593,Series A,15000000,EUR,16149593,15000000,EUR,16149593,Series A,15000000,EUR,16149593,"Bpifrance, Tikehau Capital",2,"Information Technology, Internet Services, Privacy and Security, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.provenrun.com,https://www.linkedin.com/company/1757573,,11-50
Gladia.io,https://www.crunchbase.com/organization/gladia-io,,35510,Gladia.io strives to help businesses integrate cutting-edge AI and extract valuable insights from audio data.,,"Artificial Intelligence (AI), Audio, Software, Speech Recognition","Paris, Ile-de-France, France",Gladia.io strives to help businesses integrate cutting-edge AI and extract valuable insights from audio data.,"43,756",2022-01-27,day,,"Jean-Louis Quéguiner, Jonathan Soto",Private,"44,890",,2024-10-15,2,Early Stage Venture,14600000,EUR,15889756,Series A,18300000,EUR,19931542,14600000,EUR,15889756,Series A,18300000,EUR,19931542,"Sequoia Capital, Gaingels, Soma Capital, Motier Ventures, Illuminate Financial",15,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://gladia.io ,https://www.linkedin.com/company/gladia-io,contact@gladia.io,11-50
Quantum Optics Jena,https://www.crunchbase.com/organization/quantum-optics-jena,Growing,,Quantum Optics Jena develops quantum-based solutions for state-of-the-art communication systems. Their product is a compact and high-performance entangled photon source for quantum key distribution or quantum optical experiments.,,"Electronics, Hardware, Manufacturing, Software","Jena, Thuringen, Germany",Quantum Optics Jena develops quantum-based solutions for state-of-the-art communication systems.,"44,108",2020-01-01,year,,Alexander Ruckdaeschel,Private,"45,251",,2024-09-11,2,Early Stage Venture,8500000,EUR,9358770,Series A,8500000,EUR,9358770,8500000,EUR,9358770,Series A,8500000,EUR,9358770,"bm-t beteiligungsmanagement thuringen, Join Capital, FTTF, ELAS Technology Investment, bm-t",6,"Consumer Electronics, Hardware, Manufacturing, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://qo-jena.com/,https://www.linkedin.com/company/quantum-optics-jena-gmbh,,11-50
Mercateam,https://www.crunchbase.com/organization/mercateam,,,,,"Information Technology, Small and Medium Businesses, Software","Aulnay-sous-bois, Ile-de-France, France",Mercateam specializes in developing staff management software.,"44,639",2020-01-01,year,,"Adrien Laurentin, Kevin Rouviere",Private,"45,825",,2024-06-11,2,Early Stage Venture,5000000,EUR,5370033,Series A,6200000,EUR,6784730,5000000,EUR,5370033,Series A,6200000,EUR,6784730,"Kima Ventures, OSS Ventures, Isai, Ternel, Notus Technologies",5,"Information Technology, Other, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://merca.team ,https://www.linkedin.com/company/mercateam-france ,support@merca.team,1-10
Ray studios,https://www.crunchbase.com/organization/ray-studios,,75009,"Ray Studios is a Tattoo removal studio that employs hydraulic acoustic wave technology in its ""Le Ray Spark"" Tattoo removal treatment device.",,"Beauty, Cosmetics, Laser","Paris, Ile-de-France, France",Ray Studios is a Tattoo removal studio.,"44,662",2021-07-01,day,,"David Rodriguez, Pierre Lecat",Private,"45,816",,2024-06-13,2,Early Stage Venture,3000000,EUR,3221262,Series A,6221262,USD,6221262,3000000,EUR,3221262,Series A,6221262,USD,6221262,"Bpifrance, Kima Ventures, Gaingels, True., AirAngels",7,"Consumer Goods, Hardware, Science and Engineering",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.ray-studios.com,https://www.linkedin.com/company/ray-studios,david@ray-studios.com,1-10
Fiberwood,https://www.crunchbase.com/organization/fiberwood,Growing,04430,"Fiberwood is a new eco-friendly wood fiber insulation that can be used for a variety of purposes. Fiberwood has excellent insulating properties, is entirely bio-based, and thus contains no plastic or other fossil-based materials.",,"Manufacturing, Wood Processing","Järvenpää, Southern Finland, Finland",Fiberwood is a new eco-friendly wood fiber insulation that can be used for a variety of purposes and which has excellent insulation values.,"44,760",2019-01-01,year,,"Karita Kinnunen-Raudaskoski, Tage Johansson",Private,"45,916",,2024-05-23,2,Early Stage Venture,7700000,EUR,8325035,Series A,10700000,EUR,11544316,7700000,EUR,8325035,Series A,10700000,EUR,11544316,"Business Finland, Stephen Industries, Metsa Spring",3,Manufacturing,,"European Union (EU), Nordic Countries, Scandinavia",https://www.fiberwood.fi,https://www.linkedin.com/company/fiberwood-ltd/,info@fiberwood.fi,1-10
CheckSig,https://www.crunchbase.com/organization/checksig,,,"CheckSig is a regulated digital assets provider, offering brokerage and custody services to institutional investors and high-net-worth individuals",,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Services","Milan, Lombardia, Italy",Digital asset custody and prime brokerage,"44,925",2019-10-25,day,,"Ferdinando M. Ametrano, Paolo Mazzocchi",Private,"46,087",,2024-05-08,4,Early Stage Venture,2700000,EUR,2901650,Series A,6700000,EUR,7393233,2700000,EUR,2901650,Series A,6700000,EUR,7393233,,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://checksig.io/,https://www.linkedin.com/company/checksig,info@checksig.io,11-50
HEPTA Medical,https://www.crunchbase.com/organization/hepta-medical,,,HEPTA Medical develops a microwave ablation platform for the endobronchial treatment of early-detected lung cancer patients. Our solution features a unique proprietary temperature sensor enabling to control in real-time the ablation volume.,,"Health Care, Medical, Medical Device","Paris, Ile-de-France, France",Developing a flexible microwave ablation platform for the non-invasive treatment of early lung cancer patients.,"45,299",2017-01-01,year,,"Cécile Redon, Tim Lenihan",Private,"46,469",,2024-09-04,2,Early Stage Venture,5700000,EUR,6301392,Series A,5700000,EUR,6301392,5700000,EUR,6301392,Series A,5700000,EUR,6301392,"Bpifrance, MD Start, M&L Healthcare Investments, Cléry",4,Health Care,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.heptamed.com,https://www.linkedin.com/company/hepta-medical,contact@heptamed.com,11-50
Eschatology Entertainment,https://www.crunchbase.com/organization/eschatology-entertainment,,1060,Eschatology Entertainment is a Cyprus-based game developers that creates an immersive hardcore experiences in a unique living game world.,,Gaming,"Nicosia, Nicosia, Cyprus",Eschatology Entertainment is a Cyprus-based game developers that creates an immersive hardcore experiences in a unique living game world.,"45,420",2022-01-01,year,,,Private,"46,594",,2024-08-14,2,Early Stage Venture,11300000,USD,11300000,Series A,15300000,USD,15300000,11300000,USD,11300000,Series A,15300000,USD,15300000,"Krafton, The Games Fund, GEM Capital",3,Gaming,,"Europe, Middle East, and Africa (EMEA), European Union (EU), Middle East",https://eschatologyentertainment.com,https://www.linkedin.com/company/eschatology-entertainment,info@ee.games,11-50
